idx	label	source	gap_s	call	side	t	text
1	incomplete	hold_intra	0.256	ta_IN_9829502_20230117	Right	1449.28	clear ஆயிட்டேன் first semester லயே, அப்ப எனக்கு எப்படி இருக்கும் enjoy பண்ணணும் அப்படின்னு தோணும். இப்ப fail ஆயிட்டே இருந்தேன்னு வையேன் அது வந்து கொஞ்சம் அஹ் நமக்கு தோணாது என்னடா இது நம்ம arrear உம் போட்டுட்டு இருக்கோம் enjoy யும் பண்ண மாட்டோம் அப்படின்னு ஒரு இதா இருக்கும். உம்
2	incomplete	hold_intra	0.48	ta_IN_9829706_20230404	Right	552.288	set ஆகும். நம்மது சின்ன
3	complete	change	0.032	ta_IN_10255833_20230117	Right	722.432	இருக்கும் இதே தான் full ஆ நீங்க வந்தீங்கன்னு சொன்னா telecalling work கே பாக்குற மாதிரிதான் இருக்கும்
4	incomplete	hold_intra	0.416	ta_IN_10255807_20230331	Left	1119.968	பேசி நான் குழந் நான் கேட்ப்பேன் அக்கா எப்பிடிக்கா வேல எல்லான் எப்பிடிக்கா போய்ட்டுருக்கு அப்டி சொல்லிட்டு கேட்கும் போது ஆன் ரொம்ப கஷ்டமா இருக்கில்ல? போன மாசம் நாடு ரெண்டு மாசம் அந்த பிள்ளைக்கு பிறந்தனாளு அந்த பிள்ள எறந்து போச்சு அப்டீன்றாங்க எதனாலனு கேட்டா சின்ன கொழந்தைக்கு blood cancer -ஆம்
5	complete	change	0.16	ta_IN_9829744_20230117	Left	113.216	thirteen K வருதா?
6	complete	change	0.384	ta_IN_10102663_20230123	Right	10.368	Hello திருச்சி விமான சேவை நிலையமா
7	complete	change	0.064	ta_IN_10219356_20230123	Right	1402.272	ஆஹ் நாகர்கோவில்ல ஒரு வழக்கறிஞர் வந்து சொல்றாப்டி இந்த சிதம்பரம் பிள்ளை அப்படிங்கிறவர் அங்க சொல்றப்புடி அதுல இருந்துதான், அவரு ஈவெராமசாமின்னு கூப்~ கூப்பிடறது
8	incomplete	hold_intra	0.352	ta_IN_10102571_20230331	Right	148.8	இல்ல so என் daughter க்கு வந்து window
9	complete	change	0.416	ta_IN_9829759_20230117	Right	289.92	okay madam அது ஒரு கிலோ போற்றுங்க
10	complete	change	1.216	ta_IN_9829387_20230117	Right	213.696	அப்படியென்றால் நீங்கள் Online ல பண்ணுகிறீர்களா நாம் இன்னைக்கு போய் பார்ப்போம் நன்றாக இருந்தது எஎன்றால் எடுத்துக்கொள்ளலாம் இல்லையென்றால் நாம் Online ல யே எடுத்துக்கொள்ளலாம் Ok வா
11	complete	change	0.768	ta_IN_9829627_20230123	Right	141.536	இருக்கு mam அப்போ நீங்க recharge பண்ணியிருக்கிங்களா
