idx	verdict	notes
1	Complete	
2	Complete	
3	Complete	
4	Complete	
5	Complete	
6	Complete	
7	Complete	
8	Incomplete	
9	Complete	
10	Complete	
11	Complete	
12	Complete	
13	Complete	
14	Complete	
15	Complete	
16	Complete	
17	Complete	
18	Incomplete	
19	Complete	
20	Complete	
21	Complete	
22	Complete	
23	Complete	
24	Complete	
25	Incomplete	
26	Incomplete	re-listen 2026-08-24: models right, first pass wrong
27	Complete	
28	Incomplete	re-listen 2026-08-24: models right, first pass wrong
29	Complete	
30	Incomplete	
31	Complete	
32	Incomplete	
33	Complete	
34	Complete	
35	Complete	
36	Complete	
37	Complete	
38	Complete	
39	Complete	
40	Incomplete	
41	Complete	
42	Complete	
43	Complete	
44	Complete	
45	Complete	
46	Complete	
47	Incomplete	
48	Complete	
49	Complete	
50	Complete	
51	Incomplete	
52	Complete	
53	Complete	
54	Complete	
55	Complete	
56	Complete	
57	Incomplete	
58	Complete	re-listen 2026-08-24: models right, first pass wrong
59	Complete	
60	Incomplete	
61	Complete	
62	Incomplete	
63	Complete 	
64	Incomplete	
65	Complete	
66	Incomplete	
67	Complete	
68	Complete	
69	Complete	
70	Complete	
71	Complete	
72	Complete	
73	Incomplete	
74	Incomplete	
75	Complete	
76	Complete	
77	Complete	
78	Complete	
79	Complete	
80	Incomplete	
81	Complete	
82	Complete	
83	Complete	
84	Incomplete	
85	Incomplete	
86	Complete	
87	Incomplete	
88	Incomplete	
89	Complete	
90	Incomplete	
91	Complete	
92	Incomplete	
93	Complete	
94	Complete	
95	Complete	
96	Complete	
97	Complete	
98	Complete	
99	Complete	
100	Complete	
101	Incomplete	
102	Incomplete	
103	Complete	
104	Complete	
105	Incomplete	
106	Incomplete	
107	Complete	
108	Incomplete	
109	Complete	
110	Complete	
111	Complete	
112	Complete	
113	Incomplete	
114	Complete	
115	Incomplete	
116	Complete	
117	Complete	
118	Complete	
119	Incomplete	
120	Complete	
121	Complete	
122	Complete	
123	Complete	
124	Complete	
125	Complete	
126	Complete	
127	Complete	
128	Incomplete	
129	Complete	
130	Complete	
131	Complete	
132	Complete	
133	Complete	
134	Complete	
135	Complete	
136	Complete	
137	Complete	
138	Complete	
139	Incomplete	
140	Complete	
141	Complete	
142	Complete	
143	Complete	
144	Complete	
145	Complete	
146	Incomplete	
147	Complete	
148	Incomplete	
149	Complete	
150	Complete	
151	Incomplete	
152	Complete	
153	Incomplete	
154	Complete	
155	Complete	
156	Complete	
157	Incomplete	
158	Incomplete	
159	Incomplete	
160	Complete	
161	Complete	
162	Incomplete	
163	Incomplete	
164	Complete	
165	Complete	
166	Complete	
167	Complete	
168	Complete	
169	Incomplete	
170	Complete	
171	Incomplete	
172	Complete	
173	Complete	
174	Complete	
175	Incomplete	
176	Complete	
177	Complete	
178	Complete	
179	Complete	
180	Complete	
181	Complete	
182	Incomplete	
183	Complete	
184	Unsure	
185	Complete	
186	Complete	
187	Complete	
188	Complete	
189	Complete	
190	Complete	
191	Complete	
192	Complete	
193	Complete	
194	Complete	
195	Complete	
196	Incomplete	
197	Complete	
198	Complete	
