"idx","clip","model","conf","you","agree","your_call","pipeline","source","gap_s","reason","text","sid"
"51","051.wav","complete","0.90","incomplete","NO","","incomplete","hold_intra","0.256","Ends on a finite verb.","tour போயிருக்கோம். அஹ் may","ta_IN_10219354_20230117_L_01614976"
"83","083.wav","incomplete","0.85","complete","NO","","complete","change","0.800","Ends with trailing rhetorical clitic '-o'.","இன்னும் மழ வந்து இதுவுமே எத்தினி நாளைக்கு இப்டி உயிரை வாங்க போகுதோ","ta_IN_10255843_20230117_L_00336288"
"88","088.wav","complete","0.95","incomplete","NO","","incomplete","hold_intra","1.376","Repeated acknowledgment indicates turn completion.","hello sir","ta_IN_10102687_20230112_R_00557056"
"90","090.wav","complete","0.95","incomplete","NO","","complete","change","0.672","Ends with a finished nominal statement.","ஐயோ mam தயவு செஞ்சு எனக்கு cancel பண்ணி விடுங்களேன் எனக்கு இன்னைக்கு வந்து cancel பண்ணனும் எனக்கு. புரிதா எனக்கு வந்து நாளைக்கு நான் அடுத்த train போட்டாச்சு எனக்கு வந்து amount வந்து block ஆயிட்டே கெடக்குது. இத நான் வந்து first class ல வரைக்கும் போட்ருக்கேன் train லயே. எனக்கு வந்து okay யா? இப்போ எனக்கு வந்து amount வந்து எனக்கு refund ஆகவும் இல்ல எதுவுமே ஆகல cancellation னே என்னால பண்ண முடிய மாட்டேங்குது. இது வந்து ~ ஆமா. எனக்கு ஆமாம் எனக்கு வந்து பணம் அவ்வளவு போயிடிச்சுனா நான் வந்து கிட்டத்தட்ட ஆறாயிரத்தி. சொச்சம். ஆஹான் எனக்கு தெரியல சரியா. நான் ரொம்ப பணம் குடுத்து வாங்கியிருக்கேன் நானென் இவளவு குடுத்து போறது வந்து எனக்கு வந்து இதா இருக்கு. cancel பண்ணியும் amount எனக்கு எதுவும் அகல cancel ஏ ஆகல first. அதுதான் எனக்கு ஒரு .","ta_IN_10102473_20230331_R_00144352"
"102","102.wav","complete","0.95","incomplete","NO","","incomplete","hold_intra","0.416","Ends with terminal finite verb pannala.","நீங்க correct ஆ அந்த amount எடுத்து வீடுதா கட்டறீங்க வேற எந்த use ம் பண்ணல அப்படீனு","ta_IN_10103114_20230328_L_00173504"
"106","106.wav","complete","0.95","incomplete","NO","","incomplete","hold_intra","0.864","Ends with a terminal finite verb.","ஆகி விழும். அதுவே குளிக்கிறதுக்கு அழகா இருக்கும். அது என்ன சொல்றது இது எல்லாமே மேற்கு தொடர்ச்சி மழையில அமைந்து இருக்கும். இதோட surrounding ல வந்து இதோட அருவியும் அம்மாஞ்சி","ta_IN_9829608_20230404_L_00882112"
"109","109.wav","incomplete","1.00","complete","NO","","complete","change","1.184","Ends with dangling connector 'apram'.","doubt எல்லாம் வரும் எப்படி என்ன பண்றதுன்னு தெரில அப்படின்னுட்டு அதுக்கு அப்புறம் பொறுமையா பண்ணிட்டு இருப்பேன்.","ta_IN_9829545_20230112_R_00900384"
"121","121.wav","incomplete","0.90","complete","NO","","complete","change","0.192","Trailing silence with no clear terminal verb.","என்ன போ, இதுக்குன்னு இப்படியா டா கார்த்தி?","ta_IN_10255843_20230117_R_00723136"
"124","124.wav","incomplete","0.90","complete","NO","","incomplete","hold_intra","0.224","Ends with trailing filler 'mm' indicating hesitation.","pack five thousand கட்டிருக்கோம்","ta_IN_10103171_20230117_R_00047200"
"130","130.wav","incomplete","0.90","complete","NO","","incomplete","hold_intra","1.536","Ends with trailing filler and dependent marker.","ஆமா இங்க ஒரு பையன் இருக்காப்புல காலைல பண்ணது மத்தியானத்துக்கு கிடைக்காது. அதாது ஒருவேல நம்ம சாப்டோம்னா அது அது ரெண்டு நாள் பன்னோமணா நேத்து தான இது பண்ண இனிக்கும் இதே பண்ற அப்படிங்குறாப்புல ஹ்ம் அப்படி","ta_IN_10264611_20230117_L_01555936"
"131","131.wav","incomplete","0.85","complete","NO","","incomplete","hold_intra","0.352","Ends with trailing open-ended statement","bank க்கு போன நெறய விசயம் தெரிஞ்சுக்கலா என்ன என்ன system maximum தெரிஞ்சுக்கலான் ஆளுங்க எப்டினு தெரிஞ்சுக்கலான் நெறய இருக்குது bank","ta_IN_10264659_20230328_L_00749344"
